1,"Besok pada free semua, kan?"
2,Setelah kita dinner rencananya akan ada after-party
3,"Eh, liat deh boneka teddy bear nya cute banget"
4,"No, kamu keluar dari voyage dome, belok kiri, lurus terus nanti ketemu food junction"
5,Sebenernya dia tipikal cowok red flag
6,"Wah, glaze di cakenya enak banget"
7,Next year mau ke Europe?
8,"Menurut aku, ini tempat makan paling hidden gem"
9,Kamu takut naik roller-coaster?
10,Semua makanan di sini buy one get one
11,Itinerary penting dibuat loh sebelum traveling
12,Make sure udah book tiket a day before ya
13,Jangan lupa masukin travel charger ke backpack pas lagi packing barang 
14,So amazing view sunrise di mountain peak
15,"Udah hurry ke airport, eh ternyata pesawatnya delay"
16,Asyik banget ternyata staycation bareng bestie
17,Cafe yang ambiance-nya cozy perfect banget deh untuk hangout berjam-jam
18,Hiking ke Bukit Bintang kayanya exciting dan challenging gak sih
19,"Next time kita hangout, let's go ke night market yang jual street food viral "
20,"Charge power bank malam ini, soalnya besok kita explore city seharian"
21,Anyway kita enaknya pergi ke cafe mana ya?
22,Aku mau pesen cheesecake deh
23,"Sebelum pergi dari sini, kita post foto-foto kita dulu"
24,Thank you udah bayarin bis tadi
25,Kapan-kapan kita ke water boom di sana yuk
26,Better kita lewat jalan yang lebih luas aja
27,"Daripada overthinking, mending kita jalan dulu aja"
28,Tempat itu kelihatan fancy banget
29,Kita healing dulu aja seharian ini
30,Aku prefer jalan kaki aja
31,Makanan di situ katanya sad food semua.
32,"Tidak enak, cordon bleu-nya sangat overcooked."
33,"Tidak usah bertanya lagi ke waiter-nya, di menunya sudah self-explanatory."
34,Rasanya seperti ayam KFC but sedikit better.
35,Namanya juga lemon juice pasti ada rasa tangy-nya.
36,Rekomendasi tourist spot mu sangatlah bagus.
37,"Sesudah assignment-nya selesai, kita coba ramen yang terkenal di TikTok itu."
38,"Hmm, kalau pesan cheeseburger enak sih, tapi kalau pesan schnitzel enak juga."
39,"Aku pikir namanya saja, ternyata ini kuahnya literally Coca-Cola."
40,"Ya ampun, ini view-nya sama sekali tidak sama seperti story di Instagram."
41,"Hey, are you free this weekend? Ayo kita jalan-jalan!"
42,Besok kita akan menginap di resort dekat pantai. It's going to be so much fun!
43,"By the way, apa rencanamu setelah liburan ini selesai?"
44,Kita bisa explore tempat-tempat wisata keren di Bali.
45,Jangan lupa bawa kamera biar bisa capture semua moment seru kita.
46,Ayo kita coba kue-kue homemade kafe ini. 
47,Setelah ini mau kemana? Any ideas where to go?
48,"Weekend ini benar-benar menyenangkan, terima kasih sudah mengajakku hangout!"
49,Ayo kita hiking ke gunung dekat sini! The view from the top must be amazing!
50,Kita bisa mengunjungi art museum yang terkenal di kota ini. 
51,"Waduh, agak pricey ya makanannya"
52,"Agak jauh sih jalannya, tapi worth it sih"
53,Kamu mood-nya lagi mau kemana?
54,"Eh, dateng ke grand opening toko itu yuk!"
55,Jangan lupa tag aku di story Instagram kamu ya nanti
56,Gimana kalo kita short getaway ke Sentosa Island?
57,"Pengennya sih ke Jurong, tapi I don't mind kalo kamu mau ke tempat lain"
58,New year's eve nanti kita nonton kembang api ya di Gardens by the Bay
59,Yaudah kita rent a bike aja di The Bicycle Hut
60,"Wah, ini tempat hits paling culture yang pernah aku kunjungi"
61,"Kalau backpacking ke Eropa, pengen banget lihat Colosseum di Roma dan Eiffel Tower di Paris."
62,Hari ini hiking di Gunung Rinjani. Bawa snack dan air ya!
63,"Besok ke Great Barrier Reef, snorkeling di sana asyik kali ya."
64,"Kemarin di New York, aku coba hot dog di food truck, jujur enak banget!"
65,"Besok, kita pergi ke Bali, ya. Tiket pesawat udah booked online semalem."
